aafkagh	to burst
qaspighun	piled up fairly thin layers of sea ice, safe to walk on though each piece would not be
qasqite	to reach the top
qasquviik	care; soft touch (as in ‘with a soft touch’); light touch; vagueness
qasuq	good weather after a storm
qateghrapak	slush sea ice that has hardened enough to give an illusory impression of being safe for walking
qategh	to be white
qategmigute	to land chest or belly down
qati	to string bird breasts and hang them outside to dry
qatmigtaq	boom (of a sail); pole at bottom of sail; pole used in physical training
qavaa	to be asleep
qavaghni	to be sleepy
qavaghtagh	to stay several nights in the ocean, ice or wilderness; to camp out
qavagh	to sleep; to fall asleep
qavaghvik	bed; bedroom; place to sleep
qavaghwaagh	to oversleep
qavangsi	to take a nap; to dose off
qavangughtaa	to have repeated dreams about one thing; to repeatedly have dreams
qavangugh	to dream
qavangughtugh	to dream
qavayiilliqe	toss and turn in one’s sleep
qaviighte	to disturb one's sleep
qaviighute	to reveal one’s dream to (him)
qavini	to be half-awake
qaviri	to have difficulty waking up
qavite	to tell one's dreams to (him)
qavlegh	to shimmer; to glitter; to be shiny
qavragh	to mingle; to join the crowd; to lose an artifact which one has dug up by its mixing with the debris from the digging
qawaagllugtagh	to interfere; to get in the way of others
qawaagniigh	to hunt birds
qawaagpak	golden eagle (Aquila chrysaetos); legendary large bird that can carry off people
qawaagyagh	to go bird-hunting
qawaaqaaqegte	to have clear cloudless weather
qawii	to catch lots of birds
qayae	top; surface
qayaghtugh	to ride in or travel by kayak
qayeghpigaq	highest peak of a mountain; highest level; top
qayeligh	to cover; to put on outer layer
qayengestagh	to drink hot beverage while doing something else; to quickly have a cup of tea or other hot beverage
qayengnaqi	to make clothes for the family
qayetghute	to exceed in value; to do more than needed; to go beyond what's necessary
qaygeghqe	to uncover; to discover; to bring to the surface; to pull out from under
qaygeghte	to reach the top
qayiigrugtagh, qayiigtagh-	to make a echoing hollow sound
Qayillghet	site to north of Dovelawik Bay (Tevleghak) on St. Lawrence Is.
qayughmi	whatever you think; it’s up to you; how then?
qayughquta	food to be added to other food to make the meal
qayugh	to drink tea, broth or other hot beverage
qayug	to strike with an adze when carving; to shape, form or create (as by carving); to dig with the front leg 
qayugtugh	to repeatedly strike with an adze
qayuqaawi	to cause harm
qayvighagh	to almost reach the top or surface
qayvighqe	to suddenly reveal a secret
qayvighte	to mention; to reveal
qefliqe	to be mad, angry or furious (of a man)
qefliqsuug	to be slightly angry or frustrated (of a man)
qeghaate	to store food on a meat rack in winter
qeghagh	to put up a meat rack or put meat on a rack
qelaate	to take up one’s time; to be slow (or slower than hoped or expected)
qelagh1	to urge dogs on when driving a team; to shoo dogs away
qelagh2	to call out a greeting to someone coming to the door
qelanegh	to long for; to await with impatience. 
qelanqe	to await with impatience or longing
qelegh	to urge; to encourage; to advise; to coax
qeleqetaagh	to tickle
qelghwaagh	to repeatedly urge
qellayeg	to have surgery
qellefkaghte	to parboil
qellemghaari	to be stunted in one’s growth and development
qellghaghqe	to influence to act in a certain way
qellghaghqi	to influence others to act; to stir up others to get them to act in a certain way
qellisagh	to flatten
qelliste	to flatten
qelli	to get packed down from pressure
qellughqagh	to do gymnastics on a rope stretched between posts
qellughte	to shrink
qelluughwagh	to have excrement stuck to one (of a dog usually)
qelmeghsagh	to polish
qelmeghte	to become shiny
qelmegh	to shimmer; to glitter; to be shiny
qelmeghute	to glitter
qelmeghuute	to flash; to reflect light
qelpate	to be open; to be unlocked
qelpeghte	to open (it); to start (an activity)
qelpegh	to open
qelqela	to be difficult
qelqe	to compel; to order
qelulghute	to tie to secure it from slipping off
qeluqite	to be be restrained by a leash or tether; to stop suddenly upon reaching the end of one’s rope
qelute	to tie, bind or otherwise fasten tightly
qelu	to have a muscle cramp; to be tied or fastened tightly; to be taut
qemighlluk	torso
qemighqe1	to split a frozen fish lengthwise
qemighqe2	to stretch a rope tight and tie it securely
qemightu	to be long
qemite, qemiite-	to hang by the neck; to strangle; to get choked up with sadness, fear, or grief
qemleghaghte	to have slight spinning of one’s head; to have a darkening in one’s eyes
qemqagh	to ask someone to do something with someone
qemtaq	attic; upper level, floor, or story of building
qemtigh	to install a ceiling
qenaaghquute	to make the rustling sound of walking on gravel or sand
qeneghte	to feel and say that one has been slighted
qengaghsuki	to snort (of animals)
qengaqegtagh	to have a good sense of smell
qenleghwaaq	long string of beads worn by women looped from shoulder to waist crossing in the front 
qenneghhaliigh	to travel low in water (of a boat)
qenneqegsagh	to embrace, hug, or squeeze firmly; to make a hard fist
qenngulliqe	to frown; to squint
qenngumsak	small hill on top of a larger hill
qenutu	to be thick
qeperghuugh	to decorate front of sealskin water boots with narrow strips of bleached sealskin with waterproof seams
qepe	to tie around; to strap as with tape
qepghagh	to work
qepsukaq	point of land which defines a strait or narrows together with a point on the opposite shore
qepute	to tie up or tie together; to lash
qerngagh	together
qerngayaak	field of broken sea ice pieces bunched together
qerngughqugh	to gather things by repeated actions
qerngughte	to gather; to assemble; to collect
qernguqu	birds flying together
qerrute	to gather at a certain place; to mat or tangle (of hair or fur)
qerte	to mat or tangle (of hair or fur)
qesemna	whetstone; rock used as whetstone; sharpening stone
qesigh1	to spit
qesigh2	to sweat; to perspire; to collect condensation
qesiite	to spit out liquid; to spit blood
qesni	female walrus breast with meat to be eaten
qesqesawi	to stay forever; to stop resisting; to surrender
qesug1	to pull up and out; to yank out
qesuga	to have cramps from intestinal gas
qesugniqe	to be very excited; to be elated; to anticipate enjoyment
qesugragh	to repeatedly or continually pull out
qesugugh	to forcefully pull out repeatedly
qesuqite	to choke on liquids; to swallow the wrong way
qeteghruk2	swim bladder of fish, dried and used to store fish eggs
qete	to embrace; to hug; to put one’s arm around (it, him); to grasp
qetgagh	to jump up and down; to jump rope
qetgamlla	to jump with low short jumps as in dancing or when having a tantrum
qetgegh1	to jump; to catch up with; to attack
qetgegh2	to rush over to a person at a distance, to greet him, render aid, or investigate
qetgegh3	to endeavor to consummate one's marriage after bride service to inlaws and now come to their house to claim one's bride
qetgeghtugh	to rely on for moral support
qetngigh	to be bright and dazzling (light)
qetngiqe	to be dazzled by bright light
qetulliighagh	to soften; to become soft
qetumla	soft dirt or soft snow that one sinks into as he walks
qetuuqe	to take a long time getting ready
qevute	to beat up (a person)
qevuute	to use one's might to the greatest degree possible; to do one's best; to speak loud; to act to the maximum amount one can
qighrughagh	to secure an entrance with ropes
qighuneq	young murre (Uria spp.) which is too fat to fly
qigiiqa	hook made of ivory that is attached to the end of a rope (used for strapping things)
qigugh	to cut hair short; to shear; to mow; to get a short haircut
qiifte	to turn (it); to change plans
qiigh1	to stoke a fire or stove; to put wood in stove
qiighnagh	to be slippery; to be slick; to slide well
qiighnirkitagh	to purposely slide (as on the ice) on one's feet as one walks
qiighnite	to slip (on ice or other slippery surface)
qiighwte	to get grey hairs
qiighw	to cough; to get a cold
qiigniigh	to look for firewood
qiiksug	to be self-conscious; to feel uneasy due to being watched; to feel bashful
qiiksuke	to be self-conscious, feel bashful or overpowered because of being watched by (him)
qiilngumighte	to convince
qiinghigh	to get fully acquainted; to understand; to get to know; to get familiar with
qiinghute	to aim at
qiipe	to twist; to turn (a knob or the like)
qiipi	to make hand-made thread
qiiptagh	to gather kelp by twisting it, under the water, onto a special pole
qiiqruq	thing that is frozen fast to the ground
qiiqw2	cough; cold (respiratory illness)
qiivaqu	to turn one’s head side to side and look around
qiive	to turn body or head; to make a turn while traveling; to turn toward someone for help
qiiyngu	to decorate with a kind of needlepoint done with long reindeer hair from under the chin
qikeghte	to bend
qikighqe	to become bent; to become crooked
qikighqugh	to set (a saw blade or the like)
qilaget	patterning of tattoos on the cheek
qilagigh	to become overcast; to become cloudy
qilaglluuk	dark storm cloud
qilag	to make a net
qilghake	to be annoyed or irritated over (it); to criticize
qilgha	to complain; to be annoyed; to be irritated; to be critical
qilghayagute	to become irritable
qilghayug	to be irritable
qiliighnagh	to be desirable
qiliigh, qiliighyug-	to covet something; to desire something
qiliiqe, qiliighyuke-	to covet (it); to desire (it)
qilleghte	to tie
qilleghtuqaq2	knot at tend of rope to keep it from unraveling or slipping off  something
qilleghvikuusaq	string with beads tied formerly onto new or special objects
qilug	to bark (of dog)
qimagraa	to be on the run
qimag	to flee; to run away
qimagugh	to repeated run away
qimugilnguq	hunter, from whom a wounded animal does not escape (according to folk belief)
qimugsigh	to travel by dogteam
qimugtagh	to take a pup on a training run
qimug	to be trained (of a dog being trained for sled use)
qimuke	to pursue (it) as a game animal
qineghpeghwaagh	to look at with telescope or binoculars
qineghpugag	to look at with telescope or binoculars
qineghte	to look (or look at) through an opening, a window, door, sight, scope, etc.
qingagh	to be persnickety (e.g. over food); to reject something (often food)
qingaghwiqe	to become unpredictable, wild and hazardous
qingakute	to stay away from others; to keep away from trouble
qingakutke	to avoid trouble
qingaqe	to reject (it - food); to find (it - food) distasteful
